392,7.74,7.48,4.5,0.81
393,7.7,7.45,4.1,0.64
394,7.65,7.43,5.6,0.68
395,7.7,7.43,4.1,0.32
396,7.71,7.29,3.6,0.59
397,7.68,7.49,4,0.77
398,7.69,8.31,4.3,0.6
399,7.67,8.65,4.2,0.8
400,7.71,8.66,4.7,0.58
401,7.71,9.19,5,0.68
402,7.84,8.78,4.7,0.63
403,7.76,9.86,4.8,0.37
404,7.61,11.5,5.4,1.07
405,7.45,10.9,4.3,0.96
406,7.46,11.8,3.7,0.71
407,7.38,11.7,4,0.5
408,7.28,11.6,4.4,0.52
409,7.37,11.5,4.5,0.73
410,7.76,11.7,5.1,0.87
411,7.62,11.4,4.9,0.83
412,7.75,11.6,5.3,0.74
413,7.64,11.2,5.4,0.61
414,7.59,11,5.5,0.77
415,7.59,11,5.5,0.77
416,7.65,10.2,5,0.55
417,7.65,9.97,4.8,0.51
418,7.52,9.6,4.2,0.8
419,7.37,8.27,4.7,0.74
420,7.31,7.78,4.7,0.94
421,7.79,8.48,4.6,0.49
422,7.73,7.58,5.8,0.76
423,7.52,7.02,5.7,0.62
424,7.76,8,5.4,0.54
425,7.29,6.77,5.7,0.72
426,7.33,6.03,5.6,0.63
427,7.41,5.61,5.2,0.71
428,7.39,5.08,4.1,0.54
429,7.55,4.88,3.5,0.63
430,7.56,5.5,3.8,0.66
431,7.28,5.94,3.5,0.7
432,7.26,5.73,3.4,0.65
433,7.58,5.39,3.5,0.63
434,7.49,5.38,4,0.6
435,7.46,6.45,4,0.71
436,7.46,6.45,4,0.71
437,7.43,6.32,4.6,0.7
438,7.29,6.05,6.2,0.54
439,7.36,5.97,5.3,0.62
440,7.36,5.97,5.3,0.62
441,7.86,5.58,4.8,0.59
442,7.86,5.58,4.8,0.59
443,7.94,5.65,3.7,0.71
444,7.84,5.91,4,0.75
445,7.69,6.15,3.5,0.72
446,7.54,6.29,3.5,0.55
447,7.44,6.57,4.5,0.49
448,7.66,6.56,5.1,0.34
449,7.34,7.26,4.4,0.59
450,7.57,7.15,4.1,0.35
451,7.83,7.48,3,0.23
452,7.75,7.08,3.7,0.36
453,7.78,7.7,4.9,0.23
454,7.84,7.97,5.1,0.18
455,7.83,8.42,4.6,0.2
456,7.78,9.14,4.4,0.23
457,7.85,10.1,4.3,0.2
458,7.92,9.22,4.4,0.18
459,8.17,9.38,4.4,0.23
460,7.89,10.1,4.9,0.46
461,7.8,11,5,0.36
462,7.78,11.3,4.7,0.44
463,7.8,12.1,4.9,0.41
464,7.78,12.3,4.8,0.36
465,7.86,12.9,5.2,0.52
466,7.79,12.8,3.5,0.52
467,7.84,12.2,4.3,0.47
468,7.81,11.9,4.8,0.58
469,7.73,11,5.3,1.12
470,7.59,11.6,5.7,1.12
471,7.73,11.4,5.6,0.78
472,8.22,10.2,5.7,0.32
